date,source,site_id,poc,pm2_5,units,daily_aqi_value,local_site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_description,method_code,method_description,cbsa_code,cbsa_name,state_fips_code,state,county_fips_code,county,site_latitude,site_longitude
2017-12-05,AQS,060831008,3,4.6,ug/m3 LC,26,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-06,AQS,060831008,3,3,ug/m3 LC,17,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-07,AQS,060831008,3,16.5,ug/m3 LC,65,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-08,AQS,060831008,3,19.9,ug/m3 LC,71,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-09,AQS,060831008,3,11.5,ug/m3 LC,55,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-10,AQS,060831008,3,8.9,ug/m3 LC,49,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-11,AQS,060831008,3,14.6,ug/m3 LC,61,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-12,AQS,060831008,3,8.5,ug/m3 LC,47,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-13,AQS,060831008,3,5.3,ug/m3 LC,29,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-14,AQS,060831008,3,10.3,ug/m3 LC,53,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-15,AQS,060831008,3,13,ug/m3 LC,58,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-16,AQS,060831008,3,14.7,ug/m3 LC,61,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
2017-12-17,AQS,060831008,3,11.7,ug/m3 LC,56,Santa Maria,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.942872,-120.435611
